"";"year";"y81";"price";"age";"nbh";"cbd";"area";"land";"dist";"PU";"PUHom";"Fyear";"Fage";"Fa";"Fl"
"1";1978;0;60000;48;4;3000;1660;4578;10700;13,1061598951507;2,56580629825513;1;0,865887748059206;0,776638875993114;7,59575371076404
"2";1978;0;40000;83;4;4000;2612;8370;11000;4,778972520908;1,33824277485954;1;0,779579973384702;1,03803687179724;4,41292119299499
"3";1978;0;34000;58;4;4000;1144;5000;11500;6,8;1,88463593224053;1;0,840296897658433;0,61198757575075;7,01626655691943
"4";1978;0;63900;11;4;4000;1136;10000;11900;6,39;2,88311131307159;1;0,967538559589032;0,609245151753122;3,75992415089357
"5";1978;0;44000;48;4;4000;1868;10000;12100;4,4;1,61354413887086;1;0,865887748059206;0,837589352222125;3,75992415089357
"6";1978;0;46000;78;4;3000;1780;9500;10000;4,8421052631579;1,91342984962353;1;0,791361815895585;0,812117279737992;3,93756593540976
"7";1978;0;56000;22;4;4000;1700;10878;11700;5,14800514800515;2,00069190038728;1;0,936130864291619;0,788564568200555;3,48565929591597
"8";1978;0;38500;78;4;3000;1556;3870;10200;9,94832041343669;1,90941077381061;1;0,791361815895585;0,745136931555933;8,83566447131317
"9";1978;0;60500;42;4;3000;1642;7000;10500;8,64285714285714;2,4524424443897;1;0,881614846783417;0,771238617662036;5,18311503744815
"10";1978;0;55000;41;4;3000;1443;7950;11000;6,91823899371069;2,38388176861246;1;0,884263662560822;0,710036053851926;4,62219930774025
"11";1978;0;39000;78;4;1000;1439;4990;8600;7,81563126252505;1,98240105141081;1;0,791361815895585;0,708775762517135;7,0289198788357
"12";1978;0;41000;38;0;6000;1482;8017;12200;5,11413246850443;1,72989743698114;1;0,892257955882409;0,722258730325815;4,58741878601752
"13";1978;0;50900;18;0;5000;1290;12538;12400;4,05965863774127;2,11368570123752;1;0,947432106501799;0,660887236184822;3,06742282601057
"14";1978;0;52000;32;0;9000;1274;7858;16800;6,61745991346399;2,3786302834627;1;0,908464016068707;0,655629344957936;4,67087518187762
"15";1978;0;49000;18;0;9000;1476;15664;17200;3,12819203268641;1,82563272531133;1;0,947432106501799;0,720385924389464;2,51053729264063
"16";1978;0;80000;58;4;2000;1838;9249;9900;8,64958373878257;3,07848889033366;1;0,840296897658433;0,828955226864947;4,03360886179608
"17";1978;0;50000;56;4;2000;1536;10491;10000;4,76598989610142;2,11850930959024;1;0,84535383468466;0,738993005419258;3,60117217338909
"18";1978;0;59000;70;4;2000;2458;9400;10000;6,27659574468085;1,95092076599016;1;0,810584245970189;0,99844087460327;3,97524605933485
"19";1978;0;42000;26;4;3000;750;8000;10600;5,25;2,64391213992903;1;0,92496442654354;0,467077727276394;4,59619129299346
"20";1978;0;71500;21;4;4000;2106;13370;11700;5,34779356768886;2,17525945435393;1;0,938943473689134;0,904405728600114;2,89508165529488
"21";1978;0;43000;24;4;4000;1000;8000;11700;5,375;2,2382037850123;1;0,930530895811206;0,561500244574868;4,59619129299346
"22";1978;0;48000;33;4;5000;1410;10370;12500;4,62873674059788;2,00737841343551;1;0,905742708023549;0,699600613841709;3,63896772079748
"23";1978;0;37500;128;2;14000;2346;43560;19600;0,860881542699725;1,30422524696913;1;0,681131427179549;0,969080544698786;1
"24";1978;0;59000;15;2;18000;1215;44867;24000;1,31499765974993;2,2209803109756;1;0,9559974818331;0,636031708926337;0,97374391204988
"25";1978;0;59000;7;2;18000;2128;44174;22200;1,33562729207226;1,51713647650951;1;0,97921896456946;0,910440961754138;0,987481640397855
"26";1978;0;94000;0;2;16000;2290;25250;21700;3,72277227722772;2,3882400273071;1;1;0,954211526722463;1,63359290966992
"27";1978;0;95920;0;2;17000;2464;48269;21700;1,98719675153825;2,17953203125498;1;1;1;0,911753864151297
"28";1978;0;95000;0;2;17000;2240;44916;21900;2,11505922165821;2,31097758168416;1;1;0,940824636829215;0,972787806212531
"29";1978;0;95900;0;2;17000;2464;50808;22000;1,88749803180601;2,1679352814043;1;1;1;0,870643163565
"30";1978;0;91000;1;2;16000;2240;53000;21600;1,71698113207547;2,18388076579937;1;0,997004495503373;0,940824636829215;0,8381674697142
"31";1978;0;96900;0;2;16000;2464;41463;21500;2,3370233702337;2,23552031546132;1;1;1;1,04540466667664
"32";1978;0;47000;104;4;2000;2576;12568;9400;3,73965626989179;1,62232079781959;1;0,731981528228315;1,02885766950246;3,06083225395122
"33";1978;0;68500;18;4;3000;1377;12877;10200;5,31956200978489;2,7209104489324;1;0,947432106501799;0,689076868698134;2,9946485269109
"34";1978;0;36000;188;0;9000;2071;9665;16100;3,72478013450595;1,88729637479242;1;0,568928791179124;0,894757223212582;3,87701437662201
"35";1978;0;90000;12;0;8000;2352;26890;15000;3,34696913350688;2,31562971357045;1;0,964640293483123;0,970666034109943;1,54364475628777
"36";1978;0;66900;178;0;10000;1750;12516;17100;5,34515819750719;3,69419172161404;1;0,586255252367222;0,803330582897105;3,07227498624922
"37";1978;0;44000;1;4;3000;1869;12500;6100;3,52;1,36995269799878;1;0,997004495503373;0,837876293091301;3,07581402062693
"38";1978;0;43500;48;4;2000;1490;5000;6600;8,7;1,9758884218373;1;0,865887748059206;0,724751564536525;7,01626655691943
"39";1978;0;40000;56;4;2000;1867;5000;6800;8;1,61087954411935;1;0,84535383468466;0,837302356048519;7,01626655691943
"40";1978;0;46000;3;4;3000;1261;10000;6000;4,6;1,89530798745908;1;0,991040378772884;0,651339783054791;3,75992415089357
"41";1978;0;48000;21;0;3000;1038;15431;10000;3,11062147624911;2,26395110264113;1;0,938943473689134;0,575064099507462;2,54462869243944
"42";1978;0;61000;12;4;4000;1800;13030;11200;4,6815042210284;2,00247248690681;1;0,964640293483123;0,817945472863519;2,96298265951925
"43";1978;0;55500;28;4;4000;1972;20089;11400;2,76270595848474;1,72666637314536;1;0,919431256095125;0,867142301052798;2,00685778304232
"44";1978;0;63000;23;0;6000;2089;16935;12100;3,72010628875111;1,89294812808311;1;0,933326680078203;0,899726581288781;2,34030469075056
"45";1978;0;32000;148;0;6000;1464;29129;12500;1,09856157094305;1,66367636895856;1;0,641465420827322;0,716632069159972;1,43643528923089
"46";1978;0;32000;25;0;7000;2112;12500;14000;2,56;0,990143006970818;1;0,927743486328553;0,906053942897646;3,07581402062693
"47";1978;0;82000;13;0;12000;1964;25182;18300;3,25629417838138;2,3905769739933;1;0,961750709146367;0,864889250048882;1,63756250703972
"48";1978;0;51000;18;0;14000;1166;45000;5200;1,13333333333333;1,98831285671269;1;0,947432106501799;0,619493882441338;0,971153370060463
"49";1978;0;83000;38;1;10000;3861;51062;8000;1,62547491285104;1,57674322800054;1;0,892257955882409;1,33302355249767;0,866744400890862
"50";1978;0;1e+05;10;0;14000;2252;44000;16000;2,27272727272727;2,50328770269407;1;0,970445533548508;0,944047218347127;0,990995483412834
"51";1978;0;131500;8;0;14000;2598;44000;16000;2,98863636363636;2,98610768427208;1;0,97628570975791;1,03447262774652;0,990995483412834
"52";1978;0;37500;21;0;17000;2276;43560;22100;0,860881542699725;0,964636641103561;1;0,938943473689134;0,950473897948922;1
"53";1978;0;49000;68;4;3000;1875;9790;6700;5,00510725229826;1,90749776292522;1;0,815462371187294;0,839596779163189;3,83243379645786
"54";1978;0;54000;13;4;4000;1570;8790;10700;6,14334470989761;2,0184943858821;1;0,961750709146367;0,749420773493652;4,22268899501576
"55";1978;0;56900;38;0;4000;2032;10993;5300;5,17602110433913;1,90068440111585;1;0,892257955882409;0,883936607214908;3,4528242948134
"56";1978;0;62000;22;0;4000;1318;20550;5700;3,01703163017032;2,44623990459818;1;0,936130864291619;0,670032413011478;1,96629393835258
"57";1978;0;48000;21;0;4000;1078;21800;5800;2,20183486238532;2,13477004262693;1;0,938943473689134;0,589150101324811;1,86452512394507
"58";1978;0;48000;56;4;4000;3460;11421;5900;4,20278434462832;1,19920811916499;1;0,84535383468466;1,24267812363358;3,3361484362876
"59";1978;0;53000;28;4;3000;1592;12700;6800;4,17322834645669;1,97971940343461;1;0,919431256095125;0,756124848227313;3,03218528014457
"60";1978;0;49000;54;4;4000;915;14000;7600;3,5;2,79318980736064;1;0,850441204540234;0,530468316794526;2,77756257520487
"61";1978;0;31000;28;4;5000;925;4585;11400;6,76117775354417;1,81488350562134;1;0,919431256095125;0,534171433102605;7,58531600011103
